,index,#calls,#agents
8/18/2019,2:00:00,7,5
8/18/2019,2:30:00,6,5
8/18/2019,3:00:00,4,4
8/18/2019,3:30:00,3,4
8/18/2019,4:00:00,3,4
8/18/2019,4:30:00,4,4
8/18/2019,5:00:00,4,4
8/18/2019,5:30:00,5,5
8/18/2019,6:00:00,9,6
8/18/2019,6:30:00,14,7
8/18/2019,7:00:00,21,9
8/18/2019,7:30:00,31,12
8/18/2019,8:00:00,48,14
8/18/2019,8:30:00,63,18
8/18/2019,9:00:00,99,25
8/18/2019,9:30:00,108,27
8/18/2019,10:00:00,121,32
8/18/2019,10:30:00,117,32
8/18/2019,11:00:00,121,32
8/18/2019,11:30:00,113,31
8/18/2019,12:00:00,128,32
8/18/2019,12:30:00,124,29
8/18/2019,13:00:00,112,27
8/18/2019,13:30:00,108,27
8/18/2019,14:00:00,112,27
8/18/2019,14:30:00,103,26
8/18/2019,15:00:00,120,28
8/18/2019,15:30:00,101,26
8/18/2019,16:00:00,100,25
8/18/2019,16:30:00,93,23
8/18/2019,17:00:00,93,23
8/18/2019,17:30:00,81,22
8/18/2019,18:00:00,80,23
8/18/2019,18:30:00,82,25
8/18/2019,19:00:00,75,23
8/18/2019,19:30:00,73,22
8/18/2019,20:00:00,61,17
8/18/2019,20:30:00,58,17
8/18/2019,21:00:00,64,18
8/18/2019,21:30:00,57,17
8/18/2019,22:00:00,48,14
8/18/2019,22:30:00,40,13
8/18/2019,23:00:00,29,10
8/18/2019,23:30:00,25,10
8/19/2019,0:00:00,27,10
8/19/2019,0:30:00,20,9
8/19/2019,1:00:00,16,7
8/19/2019,1:30:00,12,6
8/19/2019,2:00:00,9,6
8/19/2019,2:30:00,7,5
8/19/2019,3:00:00,5,5
8/19/2019,3:30:00,4,4
8/19/2019,4:00:00,4,4
8/19/2019,4:30:00,4,4
8/19/2019,5:00:00,6,5
8/19/2019,5:30:00,8,5
8/19/2019,6:00:00,13,6
8/19/2019,6:30:00,23,9
8/19/2019,7:00:00,31,12
8/19/2019,7:30:00,51,15
8/19/2019,8:00:00,99,25
8/19/2019,8:30:00,161,36
8/19/2019,9:00:00,223,48
8/19/2019,9:30:00,256,55
8/19/2019,10:00:00,261,64
8/19/2019,10:30:00,264,64
8/19/2019,11:00:00,275,66
8/19/2019,11:30:00,262,64
8/19/2019,12:00:00,248,54
8/19/2019,12:30:00,244,52
8/19/2019,13:00:00,266,56
8/19/2019,13:30:00,278,58
8/19/2019,14:00:00,258,55
8/19/2019,14:30:00,256,55
8/19/2019,15:00:00,256,55
8/19/2019,15:30:00,245,52
8/19/2019,16:00:00,236,50
8/19/2019,16:30:00,223,48
8/19/2019,17:00:00,197,44
8/19/2019,17:30:00,173,39
8/19/2019,18:00:00,158,41
8/19/2019,18:30:00,150,40
8/19/2019,19:00:00,130,36
8/19/2019,19:30:00,125,33
8/19/2019,20:00:00,122,29
8/19/2019,20:30:00,106,26
8/19/2019,21:00:00,108,27
8/19/2019,21:30:00,94,23
8/19/2019,22:00:00,74,19
8/19/2019,22:30:00,54,15
8/19/2019,23:00:00,40,13
8/19/2019,23:30:00,30,10
8/20/2019,0:00:00,27,10
8/20/2019,0:30:00,20,9
8/20/2019,1:00:00,16,7
8/20/2019,1:30:00,12,6
8/20/2019,2:00:00,9,6
8/20/2019,2:30:00,7,5
8/20/2019,3:00:00,5,5
8/20/2019,3:30:00,4,4
8/20/2019,4:00:00,4,4
8/20/2019,4:30:00,4,4
8/20/2019,5:00:00,6,5
8/20/2019,5:30:00,8,5
8/20/2019,6:00:00,13,6
8/20/2019,6:30:00,23,9
8/20/2019,7:00:00,31,12
8/20/2019,7:30:00,51,15
8/20/2019,8:00:00,99,25
8/20/2019,8:30:00,161,36
8/20/2019,9:00:00,223,48
8/20/2019,9:30:00,256,55
8/20/2019,10:00:00,261,64
8/20/2019,10:30:00,264,64
8/20/2019,11:00:00,275,66
8/20/2019,11:30:00,262,64
8/20/2019,12:00:00,248,54
8/20/2019,12:30:00,244,52
8/20/2019,13:00:00,266,56
8/20/2019,13:30:00,278,58
8/20/2019,14:00:00,258,55
8/20/2019,14:30:00,256,55
8/20/2019,15:00:00,256,55
8/20/2019,15:30:00,245,52
8/20/2019,16:00:00,236,50
8/20/2019,16:30:00,223,48
8/20/2019,17:00:00,197,44
8/20/2019,17:30:00,173,39
8/20/2019,18:00:00,158,41
8/20/2019,18:30:00,150,40
8/20/2019,19:00:00,130,36
8/20/2019,19:30:00,125,33
8/20/2019,20:00:00,122,29
8/20/2019,20:30:00,106,26
8/20/2019,21:00:00,108,27
8/20/2019,21:30:00,94,23
8/20/2019,22:00:00,74,19
8/20/2019,22:30:00,54,15
8/20/2019,23:00:00,40,13
8/20/2019,23:30:00,30,10
8/21/2019,0:00:00,27,10
8/21/2019,0:30:00,20,9
8/21/2019,1:00:00,16,7
8/21/2019,1:30:00,12,6
8/21/2019,2:00:00,9,6
8/21/2019,2:30:00,7,5
8/21/2019,3:00:00,5,5
8/21/2019,3:30:00,4,4
8/21/2019,4:00:00,4,4
8/21/2019,4:30:00,4,4
8/21/2019,5:00:00,6,5
8/21/2019,5:30:00,8,5
8/21/2019,6:00:00,13,6
8/21/2019,6:30:00,23,9
8/21/2019,7:00:00,31,12
8/21/2019,7:30:00,51,15
8/21/2019,8:00:00,99,25
8/21/2019,8:30:00,161,36
8/21/2019,9:00:00,223,48
8/21/2019,9:30:00,256,55
8/21/2019,10:00:00,261,64
8/21/2019,10:30:00,264,64
8/21/2019,11:00:00,275,66
8/21/2019,11:30:00,262,64
8/21/2019,12:00:00,248,54
8/21/2019,12:30:00,244,52
8/21/2019,13:00:00,266,56
8/21/2019,13:30:00,278,58
8/21/2019,14:00:00,258,55
8/21/2019,14:30:00,256,55
8/21/2019,15:00:00,256,55
8/21/2019,15:30:00,245,52
8/21/2019,16:00:00,236,50
8/21/2019,16:30:00,223,48
8/21/2019,17:00:00,197,44
8/21/2019,17:30:00,173,39
8/21/2019,18:00:00,158,41
8/21/2019,18:30:00,150,40
8/21/2019,19:00:00,130,36
8/21/2019,19:30:00,125,33
8/21/2019,20:00:00,122,29
8/21/2019,20:30:00,106,26
8/21/2019,21:00:00,108,27
8/21/2019,21:30:00,94,23
8/21/2019,22:00:00,74,19
8/21/2019,22:30:00,54,15
8/21/2019,23:00:00,40,13
8/21/2019,23:30:00,30,10
8/22/2019,0:00:00,27,10
8/22/2019,0:30:00,20,9
8/22/2019,1:00:00,16,7
8/22/2019,1:30:00,12,6
8/22/2019,2:00:00,9,6
8/22/2019,2:30:00,7,5
8/22/2019,3:00:00,5,5
8/22/2019,3:30:00,4,4
8/22/2019,4:00:00,4,4
8/22/2019,4:30:00,4,4
8/22/2019,5:00:00,6,5
8/22/2019,5:30:00,8,5
8/22/2019,6:00:00,13,6
8/22/2019,6:30:00,23,9
8/22/2019,7:00:00,31,12
8/22/2019,7:30:00,51,15
8/22/2019,8:00:00,99,25
8/22/2019,8:30:00,161,36
8/22/2019,9:00:00,223,48
8/22/2019,9:30:00,256,55
8/22/2019,10:00:00,261,64
8/22/2019,10:30:00,264,64
8/22/2019,11:00:00,275,66
8/22/2019,11:30:00,262,64
8/22/2019,12:00:00,248,54
8/22/2019,12:30:00,244,52
8/22/2019,13:00:00,266,56
8/22/2019,13:30:00,278,58
8/22/2019,14:00:00,258,55
8/22/2019,14:30:00,256,55
8/22/2019,15:00:00,256,55
8/22/2019,15:30:00,245,52
8/22/2019,16:00:00,236,50
8/22/2019,16:30:00,223,48
8/22/2019,17:00:00,197,44
8/22/2019,17:30:00,173,39
8/22/2019,18:00:00,158,41
8/22/2019,18:30:00,150,40
8/22/2019,19:00:00,130,36
8/22/2019,19:30:00,125,33
8/22/2019,20:00:00,122,29
8/22/2019,20:30:00,106,26
8/22/2019,21:00:00,108,27
8/22/2019,21:30:00,94,23
8/22/2019,22:00:00,74,19
8/22/2019,22:30:00,54,15
8/22/2019,23:00:00,40,13
8/22/2019,23:30:00,30,10
8/23/2019,0:00:00,27,10
8/23/2019,0:30:00,20,9
8/23/2019,1:00:00,16,7
8/23/2019,1:30:00,12,6
8/23/2019,2:00:00,9,6
8/23/2019,2:30:00,7,5
8/23/2019,3:00:00,5,5
8/23/2019,3:30:00,4,4
8/23/2019,4:00:00,4,4
8/23/2019,4:30:00,4,4
8/23/2019,5:00:00,6,5
8/23/2019,5:30:00,8,5
8/23/2019,6:00:00,13,6
8/23/2019,6:30:00,23,9
8/23/2019,7:00:00,31,12
8/23/2019,7:30:00,51,15
8/23/2019,8:00:00,99,25
8/23/2019,8:30:00,161,36
8/23/2019,9:00:00,223,48
8/23/2019,9:30:00,256,55
8/23/2019,10:00:00,261,64
8/23/2019,10:30:00,264,64
8/23/2019,11:00:00,275,66
8/23/2019,11:30:00,262,64
8/23/2019,12:00:00,248,54
8/23/2019,12:30:00,244,52
8/23/2019,13:00:00,266,56
8/23/2019,13:30:00,278,58
8/23/2019,14:00:00,258,55
8/23/2019,14:30:00,256,55
8/23/2019,15:00:00,256,55
8/23/2019,15:30:00,245,52
8/23/2019,16:00:00,236,50
8/23/2019,16:30:00,223,48
8/23/2019,17:00:00,197,44
8/23/2019,17:30:00,173,39
8/23/2019,18:00:00,158,41
8/23/2019,18:30:00,150,40
8/23/2019,19:00:00,130,36
8/23/2019,19:30:00,125,33
8/23/2019,20:00:00,122,29
8/23/2019,20:30:00,106,26
8/23/2019,21:00:00,108,27
8/23/2019,21:30:00,94,23
8/23/2019,22:00:00,74,19
8/23/2019,22:30:00,54,15
8/23/2019,23:00:00,40,13
8/23/2019,23:30:00,30,10
8/24/2019,0:00:00,23,9
8/24/2019,0:30:00,20,9
8/24/2019,1:00:00,17,7
8/24/2019,1:30:00,12,6
8/24/2019,2:00:00,8,5
8/24/2019,2:30:00,7,5
8/24/2019,3:00:00,4,4
8/24/2019,3:30:00,4,4
8/24/2019,4:00:00,4,4
8/24/2019,4:30:00,4,4
8/24/2019,5:00:00,5,5
8/24/2019,5:30:00,6,5
8/24/2019,6:00:00,11,6
8/24/2019,6:30:00,14,7
8/24/2019,7:00:00,26,10
8/24/2019,7:30:00,43,14
8/24/2019,8:00:00,81,22
8/24/2019,8:30:00,117,28
8/24/2019,9:00:00,173,39
8/24/2019,9:30:00,184,42
8/24/2019,10:00:00,178,46
8/24/2019,10:30:00,198,50
8/24/2019,11:00:00,201,50
8/24/2019,11:30:00,220,55
8/24/2019,12:00:00,186,42
8/24/2019,12:30:00,195,43
8/24/2019,13:00:00,179,40
8/24/2019,13:30:00,180,40
8/24/2019,14:00:00,169,37
8/24/2019,14:30:00,166,37
8/24/2019,15:00:00,181,40
8/24/2019,15:30:00,174,39
8/24/2019,16:00:00,155,35
8/24/2019,16:30:00,139,33
8/24/2019,17:00:00,140,33
8/24/2019,17:30:00,138,33
8/24/2019,18:00:00,124,33
8/24/2019,18:30:00,95,28
8/24/2019,19:00:00,91,26
8/24/2019,19:30:00,76,23
8/24/2019,20:00:00,78,20
8/24/2019,20:30:00,81,22
8/24/2019,21:00:00,81,22
8/24/2019,21:30:00,72,19
8/24/2019,22:00:00,59,17
8/24/2019,22:30:00,48,14
8/24/2019,23:00:00,38,13
8/24/2019,23:30:00,23,9
8/25/2019,0:00:00,30,10
8/25/2019,0:30:00,14,7
8/25/2019,1:00:00,13,6
8/25/2019,1:30:00,11,6
8/25/2019,2:00:00,7,5
8/25/2019,2:30:00,6,5
8/25/2019,3:00:00,4,4
8/25/2019,3:30:00,3,4
8/25/2019,4:00:00,3,4
8/25/2019,4:30:00,4,4
8/25/2019,5:00:00,4,4
8/25/2019,5:30:00,5,5
8/25/2019,6:00:00,9,6
8/25/2019,6:30:00,14,7
8/25/2019,7:00:00,21,9
8/25/2019,7:30:00,31,12
8/25/2019,8:00:00,48,14
8/25/2019,8:30:00,63,18
8/25/2019,9:00:00,99,25
8/25/2019,9:30:00,108,27
8/25/2019,10:00:00,121,32
8/25/2019,10:30:00,117,32
8/25/2019,11:00:00,121,32
8/25/2019,11:30:00,113,31
8/25/2019,12:00:00,128,32
8/25/2019,12:30:00,124,29
8/25/2019,13:00:00,112,27
8/25/2019,13:30:00,108,27
8/25/2019,14:00:00,112,27
8/25/2019,14:30:00,103,26
8/25/2019,15:00:00,120,28
8/25/2019,15:30:00,101,26
8/25/2019,16:00:00,100,25
8/25/2019,16:30:00,93,23
8/25/2019,17:00:00,93,23
8/25/2019,17:30:00,81,22
8/25/2019,18:00:00,80,23
8/25/2019,18:30:00,82,25
8/25/2019,19:00:00,75,23
8/25/2019,19:30:00,73,22
8/25/2019,20:00:00,61,17
8/25/2019,20:30:00,58,17
8/25/2019,21:00:00,64,18
8/25/2019,21:30:00,57,17
8/25/2019,22:00:00,48,14
8/25/2019,22:30:00,40,13
8/25/2019,23:00:00,29,10
8/25/2019,23:30:00,25,10
8/26/2019,0:00:00,27,10
8/26/2019,0:30:00,20,9
8/26/2019,1:00:00,16,7
8/26/2019,1:30:00,12,6
8/26/2019,2:00:00,9,6
8/26/2019,2:30:00,7,5
8/26/2019,3:00:00,5,5
8/26/2019,3:30:00,4,4
8/26/2019,4:00:00,4,4
8/26/2019,4:30:00,4,4
8/26/2019,5:00:00,6,5
8/26/2019,5:30:00,8,5
8/26/2019,6:00:00,13,6
8/26/2019,6:30:00,23,9
8/26/2019,7:00:00,31,12
8/26/2019,7:30:00,51,15
8/26/2019,8:00:00,99,25
8/26/2019,8:30:00,161,36
8/26/2019,9:00:00,223,48
8/26/2019,9:30:00,256,55
8/26/2019,10:00:00,261,64
8/26/2019,10:30:00,264,64
8/26/2019,11:00:00,275,66
8/26/2019,11:30:00,262,64
8/26/2019,12:00:00,248,54
8/26/2019,12:30:00,244,52
8/26/2019,13:00:00,266,56
8/26/2019,13:30:00,278,58
8/26/2019,14:00:00,258,55
8/26/2019,14:30:00,256,55
8/26/2019,15:00:00,256,55
8/26/2019,15:30:00,245,52
8/26/2019,16:00:00,236,50
8/26/2019,16:30:00,223,48
8/26/2019,17:00:00,197,44
8/26/2019,17:30:00,173,39
8/26/2019,18:00:00,158,41
8/26/2019,18:30:00,150,40
8/26/2019,19:00:00,130,36
8/26/2019,19:30:00,125,33
8/26/2019,20:00:00,122,29
8/26/2019,20:30:00,106,26
8/26/2019,21:00:00,108,27
8/26/2019,21:30:00,94,23
8/26/2019,22:00:00,74,19
8/26/2019,22:30:00,54,15
8/26/2019,23:00:00,40,13
8/26/2019,23:30:00,30,10
8/27/2019,0:00:00,27,10
8/27/2019,0:30:00,20,9
8/27/2019,1:00:00,16,7
8/27/2019,1:30:00,12,6
8/27/2019,2:00:00,9,6
8/27/2019,2:30:00,7,5
8/27/2019,3:00:00,5,5
8/27/2019,3:30:00,4,4
8/27/2019,4:00:00,4,4
8/27/2019,4:30:00,4,4
8/27/2019,5:00:00,6,5
8/27/2019,5:30:00,8,5
8/27/2019,6:00:00,13,6
8/27/2019,6:30:00,23,9
8/27/2019,7:00:00,31,12
8/27/2019,7:30:00,51,15
8/27/2019,8:00:00,99,25
8/27/2019,8:30:00,161,36
8/27/2019,9:00:00,223,48
8/27/2019,9:30:00,256,55
8/27/2019,10:00:00,261,64
8/27/2019,10:30:00,264,64
8/27/2019,11:00:00,275,66
8/27/2019,11:30:00,262,64
8/27/2019,12:00:00,248,54
8/27/2019,12:30:00,244,52
8/27/2019,13:00:00,266,56
8/27/2019,13:30:00,278,58
8/27/2019,14:00:00,258,55
8/27/2019,14:30:00,256,55
8/27/2019,15:00:00,256,55
8/27/2019,15:30:00,245,52
8/27/2019,16:00:00,236,50
8/27/2019,16:30:00,223,48
8/27/2019,17:00:00,197,44
8/27/2019,17:30:00,173,39
8/27/2019,18:00:00,158,41
8/27/2019,18:30:00,150,40
8/27/2019,19:00:00,130,36
8/27/2019,19:30:00,125,33
8/27/2019,20:00:00,122,29
8/27/2019,20:30:00,106,26
8/27/2019,21:00:00,108,27
8/27/2019,21:30:00,94,23
8/27/2019,22:00:00,74,19
8/27/2019,22:30:00,54,15
8/27/2019,23:00:00,40,13
8/27/2019,23:30:00,30,10
8/28/2019,0:00:00,27,10
8/28/2019,0:30:00,20,9
8/28/2019,1:00:00,16,7
8/28/2019,1:30:00,12,6
8/28/2019,2:00:00,9,6
8/28/2019,2:30:00,7,5
8/28/2019,3:00:00,5,5
8/28/2019,3:30:00,4,4
8/28/2019,4:00:00,4,4
8/28/2019,4:30:00,4,4
8/28/2019,5:00:00,6,5
8/28/2019,5:30:00,8,5
8/28/2019,6:00:00,13,6
8/28/2019,6:30:00,23,9
8/28/2019,7:00:00,31,12
8/28/2019,7:30:00,51,15
8/28/2019,8:00:00,99,25
8/28/2019,8:30:00,161,36
8/28/2019,9:00:00,223,48
8/28/2019,9:30:00,256,55
8/28/2019,10:00:00,261,64
8/28/2019,10:30:00,264,64
8/28/2019,11:00:00,275,66
8/28/2019,11:30:00,262,64
8/28/2019,12:00:00,248,54
8/28/2019,12:30:00,244,52
8/28/2019,13:00:00,266,56
8/28/2019,13:30:00,278,58
8/28/2019,14:00:00,258,55
8/28/2019,14:30:00,256,55
8/28/2019,15:00:00,256,55
8/28/2019,15:30:00,245,52
8/28/2019,16:00:00,236,50
8/28/2019,16:30:00,223,48
8/28/2019,17:00:00,197,44
8/28/2019,17:30:00,173,39
8/28/2019,18:00:00,158,41
8/28/2019,18:30:00,150,40
8/28/2019,19:00:00,130,36
8/28/2019,19:30:00,125,33
8/28/2019,20:00:00,122,29
8/28/2019,20:30:00,106,26
8/28/2019,21:00:00,108,27
8/28/2019,21:30:00,94,23
8/28/2019,22:00:00,74,19
8/28/2019,22:30:00,54,15
8/28/2019,23:00:00,40,13
8/28/2019,23:30:00,30,10
8/29/2019,0:00:00,27,10
8/29/2019,0:30:00,20,9
8/29/2019,1:00:00,16,7
8/29/2019,1:30:00,12,6
8/29/2019,2:00:00,9,6
8/29/2019,2:30:00,7,5
8/29/2019,3:00:00,5,5
8/29/2019,3:30:00,4,4
8/29/2019,4:00:00,4,4
8/29/2019,4:30:00,4,4
8/29/2019,5:00:00,6,5
8/29/2019,5:30:00,8,5
8/29/2019,6:00:00,13,6
8/29/2019,6:30:00,23,9
8/29/2019,7:00:00,31,12
8/29/2019,7:30:00,51,15
8/29/2019,8:00:00,99,25
8/29/2019,8:30:00,161,36
8/29/2019,9:00:00,223,48
8/29/2019,9:30:00,256,55
8/29/2019,10:00:00,261,64
8/29/2019,10:30:00,264,64
8/29/2019,11:00:00,275,66
8/29/2019,11:30:00,262,64
8/29/2019,12:00:00,248,54
8/29/2019,12:30:00,244,52
8/29/2019,13:00:00,266,56
8/29/2019,13:30:00,278,58
8/29/2019,14:00:00,258,55
8/29/2019,14:30:00,256,55
8/29/2019,15:00:00,256,55
8/29/2019,15:30:00,245,52
8/29/2019,16:00:00,236,50
8/29/2019,16:30:00,223,48
8/29/2019,17:00:00,197,44
8/29/2019,17:30:00,173,39
8/29/2019,18:00:00,158,41
8/29/2019,18:30:00,150,40
8/29/2019,19:00:00,130,36
8/29/2019,19:30:00,125,33
8/29/2019,20:00:00,122,29
8/29/2019,20:30:00,106,26
8/29/2019,21:00:00,108,27
8/29/2019,21:30:00,94,23
8/29/2019,22:00:00,74,19
8/29/2019,22:30:00,54,15
8/29/2019,23:00:00,40,13
8/29/2019,23:30:00,30,10
8/30/2019,0:00:00,27,10
8/30/2019,0:30:00,20,9
8/30/2019,1:00:00,16,7
8/30/2019,1:30:00,12,6
8/30/2019,2:00:00,9,6
8/30/2019,2:30:00,7,5
8/30/2019,3:00:00,5,5
8/30/2019,3:30:00,4,4
8/30/2019,4:00:00,4,4
8/30/2019,4:30:00,4,4
8/30/2019,5:00:00,6,5
8/30/2019,5:30:00,8,5
8/30/2019,6:00:00,13,6
8/30/2019,6:30:00,23,9
8/30/2019,7:00:00,31,12
8/30/2019,7:30:00,51,15
8/30/2019,8:00:00,99,25
8/30/2019,8:30:00,161,36
8/30/2019,9:00:00,223,48
8/30/2019,9:30:00,256,55
8/30/2019,10:00:00,261,64
8/30/2019,10:30:00,264,64
8/30/2019,11:00:00,275,66
8/30/2019,11:30:00,262,64
8/30/2019,12:00:00,248,54
8/30/2019,12:30:00,244,52
8/30/2019,13:00:00,266,56
8/30/2019,13:30:00,278,58
8/30/2019,14:00:00,258,55
8/30/2019,14:30:00,256,55
8/30/2019,15:00:00,256,55
8/30/2019,15:30:00,245,52
8/30/2019,16:00:00,236,50
8/30/2019,16:30:00,223,48
8/30/2019,17:00:00,197,44
8/30/2019,17:30:00,173,39
8/30/2019,18:00:00,158,41
8/30/2019,18:30:00,150,40
8/30/2019,19:00:00,130,36
8/30/2019,19:30:00,125,33
8/30/2019,20:00:00,122,29
8/30/2019,20:30:00,106,26
8/30/2019,21:00:00,108,27
8/30/2019,21:30:00,94,23
8/30/2019,22:00:00,74,19
8/30/2019,22:30:00,54,15
8/30/2019,23:00:00,40,13
8/30/2019,23:30:00,30,10
8/31/2019,0:00:00,23,9
8/31/2019,0:30:00,20,9
8/31/2019,1:00:00,17,7
8/31/2019,1:30:00,12,6
8/31/2019,2:00:00,8,5
8/31/2019,2:30:00,7,5
8/31/2019,3:00:00,4,4
8/31/2019,3:30:00,4,4
8/31/2019,4:00:00,4,4
8/31/2019,4:30:00,4,4
8/31/2019,5:00:00,5,5
8/31/2019,5:30:00,6,5
8/31/2019,6:00:00,11,6
8/31/2019,6:30:00,14,7
8/31/2019,7:00:00,26,10
8/31/2019,7:30:00,43,14
8/31/2019,8:00:00,81,22
8/31/2019,8:30:00,117,28
8/31/2019,9:00:00,173,39
8/31/2019,9:30:00,184,42
8/31/2019,10:00:00,178,46
8/31/2019,10:30:00,198,50
8/31/2019,11:00:00,201,50
8/31/2019,11:30:00,220,55
8/31/2019,12:00:00,186,42
8/31/2019,12:30:00,195,43
8/31/2019,13:00:00,179,40
8/31/2019,13:30:00,180,40
8/31/2019,14:00:00,169,37
8/31/2019,14:30:00,166,37
8/31/2019,15:00:00,181,40
8/31/2019,15:30:00,174,39
8/31/2019,16:00:00,155,35
8/31/2019,16:30:00,139,33
8/31/2019,17:00:00,140,33
8/31/2019,17:30:00,138,33
8/31/2019,18:00:00,124,33
8/31/2019,18:30:00,95,28
8/31/2019,19:00:00,91,26
8/31/2019,19:30:00,76,23
8/31/2019,20:00:00,78,20
8/31/2019,20:30:00,81,22
8/31/2019,21:00:00,81,22
8/31/2019,21:30:00,72,19
8/31/2019,22:00:00,59,17
8/31/2019,22:30:00,48,14
8/31/2019,23:00:00,38,13
8/31/2019,23:30:00,23,9
